"NombreMunicipio","CodigoMunicipio","Ubicacion","NombreRegion","CodigoRegion","Año","NumeroCasos","TasaXMilHabitantes"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2006","113","5.3"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2006","325","5"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2006","117","5.2"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2006","74","4.6"
"Ebéjico","05240","POINT (-75.768514 6.326468)","OCCIDENTE","6","2006","81","6"
"El Bagre","05250","POINT (-74.812977 7.60005)","BAJO CAUCA","2","2006","191","4.7"
"El Carmen de Viboral","05148","POINT (-75.335351 6.083283)","ORIENTE","7","2006","153","3.1"
"El Peñol","05541","POINT (-75.161743 6.234274)","ORIENTE","7","2006","91","4.9"
"El Retiro","05607","POINT (-75.502683 6.057336)","ORIENTE","7","2006","73","3.8"
"El Santuario","05697","POINT (-75.265676 6.139528)","ORIENTE","7","2006","162","5.2"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2006","30","3.3"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2006","835","4.7"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2006","105","4.3"
"Frontino","05284","POINT (-76.128568 6.77975)","OCCIDENTE","6","2006","88","3.9"
"Giraldo","05306","POINT (-75.953365 6.680421)","OCCIDENTE","6","2006","29","5.9"
"Girardota","05308","POINT (-75.446101 6.377536)","VALLE DE ABURRA","1","2006","200","4.8"
"Gómez Plata","05310","POINT (-75.219375 6.681523)","NORTE","5","2006","48","5"
"Granada","05313","POINT (-75.18443 6.14432)","ORIENTE","7","2006","58","4.3"
"Guadalupe","05315","POINT (-75.240458 6.814987)","NORTE","5","2006","35","5.3"
"Guarne","05318","POINT (-75.442619 6.279958)","ORIENTE","7","2006","180","4.1"
"Guatapé","05321","POINT (-75.161723 6.234276)","ORIENTE","7","2006","28","4.1"
"Heliconia","05347","POINT (-75.733349 6.207128)","OCCIDENTE","6","2006","44","6.9"
"Hispania","05353","POINT (-75.907416 5.799621)","SUROESTE","8","2006","22","4.1"
"Itagüí","05360","POINT (-75.609585 6.172619)","VALLE DE ABURRA","1","2006","1051","4.7"
"Ituango","05361","POINT (-75.764081 7.172568)","NORTE","5","2006","109","4.2"
"Jardín","05364","POINT (-75.819483 5.599097)","SUROESTE","8","2006","106","7.7"
"Jericó","05368","POINT (-75.786118 5.791557)","SUROESTE","8","2006","74","5.2"
"La Ceja","05376","POINT (-75.431681 6.030682)","ORIENTE","7","2006","234","4.5"
"La Estrella","05380","POINT (-75.643382 6.157644)","VALLE DE ABURRA","1","2006","252","4.5"
"La Pintada","05390","POINT (-75.606525 5.747143)","SUROESTE","8","2006","45","4.6"
"La Unión","05400","POINT (-75.361241 5.973832)","ORIENTE","7","2006","95","5.1"
"Liborina","05411","POINT (-75.811313 6.67786)","OCCIDENTE","6","2006","51","4.9"
"Maceo","05425","POINT (-74.673429 6.530691)","MAGDALENA MEDIO","3","2006","44","5.1"
"Marinilla","05440","POINT (-75.334772 6.173718)","ORIENTE","7","2006","231","4.3"
"Medellín","05001","POINT (-75.564739 6.253104)","VALLE DE ABURRA","1","2006","11612","5.6"
"Montebello","05467","POINT (-75.524621 5.945694)","SUROESTE","8","2006","53","6.9"
"Murindó","05475","POINT (-76.82131 6.981328)","URABA","9","2006","5","1.4"
"Mutatá","05480","POINT (-76.436928 7.245319)","URABA","9","2006","52","4.2"
"Nariño","05483","POINT (-75.176323 5.609727)","ORIENTE","7","2006","66","5.3"
"Nechí","05495","POINT (-74.775013 8.095003)","BAJO CAUCA","2","2006","90","4.4"
"Necoclí","05490","POINT (-76.786829 8.424299)","URABA","9","2006","122","3.3"
"Olaya","05501","POINT (-75.81238 6.628142)","OCCIDENTE","6","2006","18","5.7"
